Algorithm,Cost,Improvement
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[82.24039592604028, 76.41015813737549, 74.19894280657068, 74.00133609916728, 74.19894280657068]","[0, 7.089262792348408, 9.777984442951082, 10.018263815610133, 9.777984442951082]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[84.04850126589714, 76.41015813737549, 74.19894280657067, 101.96905232242227, 74.19894280657067]","[0, 9.088018243605408, 11.718898387213661, -21.321678300760407, 11.718898387213661]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[82.77168334482565, 76.41015813737549, 73.99982631274878, 92.55209991470257, 73.99982631274878]","[0, 7.685629855983639, 10.597654508889756, -11.816138291076966, 10.597654508889756]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[83.05456567899208, 76.41015813737549, 74.307852451975, 92.33468211391036, 74.307852451975]","[0, 8.00005091507839, 10.531285252665509, -11.173517505089558, 10.531285252665509]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[87.27670200855943, 76.41015813737549, 74.19894280657068, 75.51802799725817, 74.19894280657068]","[0, 12.450681133801583, 14.984249978540864, 13.4728670317401, 14.984249978540864]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[87.28083810432685, 76.41015813737549, 74.10873595815309, 75.51802799725817, 74.10873595815309]","[0, 12.454829952431972, 15.091631144088161, 13.476967410657284, 15.091631144088161]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[82.93093015176844, 76.41015813737549, 74.87007475836809, 75.51802799725817, 74.87007475836809]","[0, 7.862895065157901, 9.719962598572703, 8.938645859806734, 9.719962598572703]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[86.81032186607385, 76.41015813737549, 74.46016826895726, 75.51802799725817, 74.46016826895726]","[0, 11.980330800688835, 14.226595791419506, 13.008008294493829, 14.226595791419506]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[89.1961587029955, 76.41015813737549, 75.10357827750374, 75.51802799725817, 75.10357827750374]","[0, 14.33469865915943, 15.79953736843881, 15.334887628157437, 15.79953736843881]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[84.01244040045336, 76.41015813737549, 73.99982631274878, 75.51802799725817, 73.99982631274878]","[0, 9.048995871136297, 11.91801361795764, 10.110898293997595, 11.91801361795764]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[78.34194682214853, 76.41015813737549, 74.59385319736273, 75.51802799725817, 74.59385319736273]","[0, 2.4658420720110206, 4.784274295984369, 3.6046063947085734, 4.784274295984369]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[89.02005331895874, 76.41015813737549, 75.1654312740694, 75.51802799725817, 75.1654312740694]","[0, 14.165229868378102, 15.563484325546565, 15.16739747764791, 15.563484325546565]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[89.24596139988083, 76.41015813737549, 74.19894280657067, 75.51802799725817, 74.19894280657067]","[0, 14.382503209296457, 16.86016751602863, 15.382134034180492, 16.86016751602863]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[90.0192821196939, 76.41015813737549, 75.38909497373665, 77.12688501241215, 75.38909497373665]","[0, 15.118009899504722, 16.252281512869946, 14.3218172859226, 16.252281512869946]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[87.37955953904543, 75.29951626991665, 74.307852451975, 83.7188617592787, 74.307852451975]","[0, 13.824793044110997, 14.959685258231776, 4.189421186234016, 14.959685258231776]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[87.07404516030287, 75.29951626991665, 75.08986022351147, 95.36624120559762, 75.08986022351147]","[0, 13.522432394991382, 13.763211430832904, -9.523154724268126, 13.763211430832904]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[88.72912546793285, 75.29951626991665, 74.10873595815309, 85.19184373428742, 74.10873595815309]","[0, 15.135513989563352, 16.47755394035033, 3.9866072329584954, 16.47755394035033]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[86.83723574635268, 75.29951626991665, 74.46016826895726, 77.2848034913205, 74.46016826895726]","[0, 13.286603813756969, 14.25317995329587, 11.000387302670896, 14.25317995329587]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[88.24677436231066, 75.29951626991665, 74.10873595815309, 84.26972339203508, 74.10873595815309]","[0, 14.671650251188847, 16.021025704703593, 4.506738063815446, 16.021025704703593]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[90.10988588570221, 75.29951626991665, 74.00133609916728, 77.12688501241215, 74.00133609916728]","[0, 16.435898758734897, 17.876562186492446, 14.407965059192342, 17.876562186492446]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[83.2672071944587, 75.29951626991665, 74.29556715078853, 84.43362518362554, 74.29556715078853]","[0, 9.568822100559524, 10.774517779512156, -1.400813151380024, 10.774517779512156]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[88.86460551529544, 75.29951626991665, 74.8700747583681, 75.51802799725817, 74.8700747583681]","[0, 15.26489558662808, 15.748149306214593, 15.019002718399557, 15.748149306214593]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[86.06731170133091, 75.29951626991665, 75.18196289560494, 77.12688501241215, 75.18196289560494]","[0, 12.510900153103943, 12.647483220458996, 10.387714583143547, 12.647483220458996]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[86.66246099301868, 75.29951626991665, 74.19894280657067, 75.51802799725817, 74.19894280657067]","[0, 13.111726337909332, 14.381680422682717, 12.859585186091449, 14.381680422682717]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[90.1193082909492, 75.29951626991665, 74.307852451975, 75.51802799725817, 74.307852451975]","[0, 16.444635785693137, 17.545025742904173, 16.202166406505206, 17.545025742904173]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[85.56140256847324, 75.29951626991665, 73.99982631274878, 75.51802799725817, 73.99982631274878]","[0, 11.993592894113894, 13.512607213833295, 11.738207029948507, 13.512607213833295]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[88.3756523166489, 75.29951626991665, 74.10873595815309, 75.51802799725817, 74.10873595815309]","[0, 14.796084333138054, 16.143491996390154, 14.548831021152761, 16.143491996390154]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[90.68034881235467, 75.29951626991665, 75.08986022351147, 75.51802799725817, 75.08986022351147]","[0, 16.961593932843876, 17.19279732933613, 16.720624714922486, 17.19279732933613]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[85.82866947933621, 75.29951626991665, 74.96631478024752, 75.51802799725817, 74.96631478024752]","[0, 12.26764118946819, 12.655858193984793, 12.01305058627338, 12.655858193984793]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[88.64467397813813, 75.29951626991665, 74.82696604613437, 75.51802799725817, 74.82696604613437]","[0, 15.054663872431535, 15.587747477543354, 14.808160932621059, 15.587747477543354]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[85.66839157804974, 75.29951626991665, 74.307852451975, 75.51802799725817, 74.307852451975]","[0, 12.103501790022907, 13.261062705635737, 11.84843487057171, 13.261062705635737]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[89.1747752179619, 75.29951626991665, 74.87400780580995, 75.51802799725817, 74.87400780580995]","[0, 15.55962312675439, 16.036785489167606, 15.314585528613625, 16.036785489167606]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[86.05167032212013, 75.29951626991665, 75.56241044729373, 75.51802799725817, 75.56241044729373]","[0, 12.494997496218932, 12.189490146514997, 12.241066658475098, 12.189490146514997]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[79.96545899870804, 75.29951626991665, 73.99982631274878, 75.51802799725817, 73.99982631274878]","[0, 5.834947722699594, 7.460261918906321, 5.561690081115804, 7.460261918906321]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[87.7115255175075, 75.29951626991665, 73.99982631274878, 75.51802799725817, 73.99982631274878]","[0, 14.150944444710825, 15.632722294884516, 13.901819000760012, 15.632722294884516]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[88.3133428511196, 75.29951626991665, 74.61480359572822, 75.51802799725817, 74.61480359572822]","[0, 14.735968723482609, 15.511290608130022, 14.488540961960894, 15.511290608130022]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[87.27978937921516, 75.29951626991665, 73.98761804517501, 75.51802799725817, 73.98761804517501]","[0, 13.726285540454677, 15.229380625894992, 13.47592777848515, 15.229380625894992]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[85.9907369426729, 75.29951626991665, 74.87400780580995, 75.51802799725817, 74.87400780580995]","[0, 12.432991102150593, 12.927821684182202, 12.178880328001519, 12.927821684182202]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[86.02132925079749, 75.29951626991665, 75.16543127406942, 75.51802799725817, 74.00133609916728]","[0, 12.464133110081464, 12.62000723689983, 12.210112706950463, 13.973270648475571]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[90.56555322647084, 75.29951626991665, 74.23332983188442, 75.51802799725817, 74.59385319736273]","[0, 16.856339317421817, 18.033593140811043, 16.615064661046556, 17.635513128450516]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[81.58477843589517, 75.29951626991665, 74.46016826895726, 75.51802799725817, 74.70711057016578]","[0, 7.703964252249746, 8.732768910484987, 7.436130311249077, 8.430087079458684]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[83.46726555986864, 75.29951626991665, 74.87400780580994, 75.51802799725817, 74.87400780580995]","[0, 9.785571906741687, 10.295362734622, 9.523778584682049, 10.295362734621982]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[91.08438663514048, 75.29951626991665, 74.87400780580994, 75.51802799725817, 74.87400780580995]","[0, 17.329940891465586, 17.797099402189474, 17.090040579882196, 17.797099402189463]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[83.4331526779928, 75.29951626991665, 74.87400780580995, 75.51802799725817, 74.00133609916728]","[0, 9.748686399838702, 10.25868566325972, 9.48678603969666, 11.304638834909273]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[84.10056758982631, 75.29951626991665, 79.87515682893284, 75.51802799725817, 75.56241044729373]","[0, 10.464913105978049, 5.02423572395083, 10.205091164695508, 10.152318096323345]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[84.0845028199454, 75.29951626991665, 74.87400780580995, 75.51802799725817, 75.29951626991664]","[0, 10.447806974420132, 10.953855591985086, 10.187935392840549, 10.447806974420148]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[83.24276867818325, 75.29951626991665, 74.30785245197498, 75.51802799725817, 73.987618045175]","[0, 9.542273202102677, 10.733564450205495, 9.2797738513347, 11.118263820355004]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[84.00853556195297, 75.29951626991665, 75.2000429593072, 75.51802799725817, 74.00133609916728]","[0, 10.366826696572707, 10.485235272491872, 10.106720118259153, 11.91212225739345]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[88.49384491395385, 75.29951626991665, 75.10357827750374, 75.51802799725817, 74.00133609916728]","[0, 14.909882892834613, 15.131297153457401, 14.66295981298201, 16.37685516871623]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[87.3902293663891, 75.29951626991665, 75.16543127406942, 76.41015813737549, 75.06919125218998]","[0, 13.835314524443412, 13.98874700404599, 12.564415162453638, 14.098873756861737]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[85.00958107745545, 75.29951626991665, 74.30785245197498, 76.41015813737549, 74.59385319736273]","[0, 11.422318148693842, 12.588849974133762, 10.11582792326044, 12.252416431275615]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[86.68823705751467, 75.29951626991665, 74.96631478024752, 76.41015813737549, 75.1654312740694]","[0, 13.137561881714117, 13.521929474110845, 11.856370909146563, 13.292236841545503]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[88.80722775426649, 75.29951626991665, 75.16543127406942, 76.41015813737549, 73.99982631274878]","[0, 15.210148797490078, 15.36113312527278, 13.959527766359558, 16.67364449489454]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[84.57480635718734, 75.29951626991665, 74.87400780580995, 76.41015813737549, 74.59385319736273]","[0, 10.966965798417649, 11.470080712225, 9.653759283030276, 11.801331377185479]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[83.6649020669263, 75.29951626991665, 75.16543127406942, 76.41015813737549, 73.99982631274878]","[0, 9.998679960585987, 10.158944291906154, 8.671191563395968, 11.552127015514953]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[89.51350817997006, 75.29951626991665, 74.30785245197498, 76.41015813737549, 74.00133609916728]","[0, 15.879158575123295, 16.986995635813507, 14.638405207234001, 17.329420325717788]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[87.18061284019488, 75.29951626991665, 74.87400780580995, 76.41015813737549, 73.99982631274877]","[0, 13.628140687719984, 14.11621762391527, 12.35418558316631, 15.118942271726125]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[91.3243911320671, 75.29951626991665, 74.87400780580995, 76.41015813737549, 74.00133609916728]","[0, 17.54720142505672, 18.0131322227681, 16.331051113304078, 18.96870575118142]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[83.61318043475444, 75.29951626991665, 74.87400780580995, 76.41015813737549, 74.00133609916728]","[0, 9.943006738423446, 10.4519079211009, 8.61469718042798, 11.495609048249921]"
