Algorithm,Cost,Improvement,Time Limit,No Improvement Limit
Local Search with No Improvement Limit,85.19184373428742,3.9866072329584954,1,1
Local Search with 2-opt and No Improvement Limit,74.10873595815309,16.47755394035033,1,1
Random Search,86.83723574635268,0,1,1
Simple Local Search,75.29951626991665,13.286603813756969,1,1
2-opt Local Search,74.46016826895726,14.25317995329587,1,1
Local Search with No Improvement Limit,77.2848034913205,11.000387302670896,1,1
Local Search with 2-opt and No Improvement Limit,74.46016826895726,14.25317995329587,1,1
Random Search,88.24677436231066,0,1,1
Simple Local Search,75.29951626991665,14.671650251188847,1,1
2-opt Local Search,74.10873595815309,16.021025704703593,1,1
Local Search with No Improvement Limit,84.26972339203508,4.506738063815446,1,1
Local Search with 2-opt and No Improvement Limit,74.10873595815309,16.021025704703593,1,1
Random Search,90.10988588570221,0,1,1
Simple Local Search,75.29951626991665,16.435898758734897,1,1
2-opt Local Search,74.00133609916728,17.876562186492446,1,1
Local Search with No Improvement Limit,77.12688501241215,14.407965059192342,1,1
Local Search with 2-opt and No Improvement Limit,74.00133609916728,17.876562186492446,1,1
Random Search,83.2672071944587,0,1,1
Simple Local Search,75.29951626991665,9.568822100559524,1,1
2-opt Local Search,74.29556715078853,10.774517779512156,1,1
Local Search with No Improvement Limit,84.43362518362554,-1.400813151380024,1,1
Local Search with 2-opt and No Improvement Limit,74.29556715078853,10.774517779512156,1,1
Random Search,88.86460551529544,0,1,1
Simple Local Search,75.29951626991665,15.26489558662808,1,1
2-opt Local Search,74.8700747583681,15.748149306214593,1,1
Local Search with No Improvement Limit,75.51802799725817,15.019002718399557,1,1
Local Search with 2-opt and No Improvement Limit,74.8700747583681,15.748149306214593,1,1
Random Search,86.06731170133091,0,1,1
Simple Local Search,75.29951626991665,12.510900153103943,1,1
2-opt Local Search,75.18196289560494,12.647483220458996,1,1
Local Search with No Improvement Limit,77.12688501241215,10.387714583143547,1,1
Local Search with 2-opt and No Improvement Limit,75.18196289560494,12.647483220458996,1,1
Random Search,86.66246099301868,0,1,1000000
Simple Local Search,75.29951626991665,13.111726337909332,1,1000000
2-opt Local Search,74.19894280657067,14.381680422682717,1,1000000
Local Search with No Improvement Limit,75.51802799725817,12.859585186091449,1,1000000
Local Search with 2-opt and No Improvement Limit,74.19894280657067,14.381680422682717,1,1000000
Random Search,90.1193082909492,0,1,1000000
Simple Local Search,75.29951626991665,16.444635785693137,1,1000000
2-opt Local Search,74.307852451975,17.545025742904173,1,1000000
Local Search with No Improvement Limit,75.51802799725817,16.202166406505206,1,1000000
Local Search with 2-opt and No Improvement Limit,74.307852451975,17.545025742904173,1,1000000
Random Search,85.56140256847324,0,1,1000000
Simple Local Search,75.29951626991665,11.993592894113894,1,1000000
2-opt Local Search,73.99982631274878,13.512607213833295,1,1000000
Local Search with No Improvement Limit,75.51802799725817,11.738207029948507,1,1000000
Local Search with 2-opt and No Improvement Limit,73.99982631274878,13.512607213833295,1,1000000
Random Search,88.3756523166489,0,1,1000000
Simple Local Search,75.29951626991665,14.796084333138054,1,1000000
2-opt Local Search,74.10873595815309,16.143491996390154,1,1000000
Local Search with No Improvement Limit,75.51802799725817,14.548831021152761,1,1000000
Local Search with 2-opt and No Improvement Limit,74.10873595815309,16.143491996390154,1,1000000
Random Search,90.68034881235467,0,1,1000000
Simple Local Search,75.29951626991665,16.961593932843876,1,1000000
2-opt Local Search,75.08986022351147,17.19279732933613,1,1000000
Local Search with No Improvement Limit,75.51802799725817,16.720624714922486,1,1000000
Local Search with 2-opt and No Improvement Limit,75.08986022351147,17.19279732933613,1,1000000
Random Search,85.82866947933621,0,1,1000000
Simple Local Search,75.29951626991665,12.26764118946819,1,1000000
2-opt Local Search,74.96631478024752,12.655858193984793,1,1000000
Local Search with No Improvement Limit,75.51802799725817,12.01305058627338,1,1000000
Local Search with 2-opt and No Improvement Limit,74.96631478024752,12.655858193984793,1,1000000
Random Search,88.64467397813813,0,1,1000000
Simple Local Search,75.29951626991665,15.054663872431535,1,1000000
2-opt Local Search,74.82696604613437,15.587747477543354,1,1000000
Local Search with No Improvement Limit,75.51802799725817,14.808160932621059,1,1000000
Local Search with 2-opt and No Improvement Limit,74.82696604613437,15.587747477543354,1,1000000
Random Search,85.66839157804974,0,5,1000000
Simple Local Search,75.29951626991665,12.103501790022907,5,1000000
2-opt Local Search,74.307852451975,13.261062705635737,5,1000000
Local Search with No Improvement Limit,75.51802799725817,11.84843487057171,5,1000000
Local Search with 2-opt and No Improvement Limit,74.307852451975,13.261062705635737,5,1000000
Random Search,89.1747752179619,0,5,2000000
Simple Local Search,75.29951626991665,15.55962312675439,5,2000000
2-opt Local Search,74.87400780580995,16.036785489167606,5,2000000
Local Search with No Improvement Limit,75.51802799725817,15.314585528613625,5,2000000
Local Search with 2-opt and No Improvement Limit,74.87400780580995,16.036785489167606,5,2000000
Random Search,86.05167032212013,0,5,2000000
Simple Local Search,75.29951626991665,12.494997496218932,5,2000000
2-opt Local Search,75.56241044729373,12.189490146514997,5,2000000
Local Search with No Improvement Limit,75.51802799725817,12.241066658475098,5,2000000
Local Search with 2-opt and No Improvement Limit,75.56241044729373,12.189490146514997,5,2000000
Random Search,79.96545899870804,0,5,2000000
Simple Local Search,75.29951626991665,5.834947722699594,5,2000000
2-opt Local Search,73.99982631274878,7.460261918906321,5,2000000
Local Search with No Improvement Limit,75.51802799725817,5.561690081115804,5,2000000
Local Search with 2-opt and No Improvement Limit,73.99982631274878,7.460261918906321,5,2000000
Random Search,87.7115255175075,0,3,2000000
Simple Local Search,75.29951626991665,14.150944444710825,3,2000000
2-opt Local Search,73.99982631274878,15.632722294884516,3,2000000
Local Search with No Improvement Limit,75.51802799725817,13.901819000760012,3,2000000
Local Search with 2-opt and No Improvement Limit,73.99982631274878,15.632722294884516,3,2000000
Random Search,88.3133428511196,0,3,2000000
Simple Local Search,75.29951626991665,14.735968723482609,3,2000000
2-opt Local Search,74.61480359572822,15.511290608130022,3,2000000
Local Search with No Improvement Limit,75.51802799725817,14.488540961960894,3,2000000
Local Search with 2-opt and No Improvement Limit,74.61480359572822,15.511290608130022,3,2000000
Random Search,87.27978937921516,0,3,2000000
Simple Local Search,75.29951626991665,13.726285540454677,3,2000000
2-opt Local Search,73.98761804517501,15.229380625894992,3,2000000
Local Search with No Improvement Limit,75.51802799725817,13.47592777848515,3,2000000
Local Search with 2-opt and No Improvement Limit,73.98761804517501,15.229380625894992,3,2000000
Random Search,85.9907369426729,0,3,2000000
Simple Local Search,75.29951626991665,12.432991102150593,3,2000000
2-opt Local Search,74.87400780580995,12.927821684182202,3,2000000
Local Search with No Improvement Limit,75.51802799725817,12.178880328001519,3,2000000
Local Search with 2-opt and No Improvement Limit,74.87400780580995,12.927821684182202,3,2000000
Random Search,86.02132925079749,0,3,2000000
Simple Local Search,75.29951626991665,12.464133110081464,3,2000000
2-opt Local Search,75.16543127406942,12.62000723689983,3,2000000
Local Search with No Improvement Limit,75.51802799725817,12.210112706950463,3,2000000
Local Search with 2-opt and No Improvement Limit,74.00133609916728,13.973270648475571,3,2000000
Random Search,90.56555322647084,0,3,2000000
Simple Local Search,75.29951626991665,16.856339317421817,3,2000000
2-opt Local Search,74.23332983188442,18.033593140811043,3,2000000
Local Search with No Improvement Limit,75.51802799725817,16.615064661046556,3,2000000
Local Search with 2-opt and No Improvement Limit,74.59385319736273,17.635513128450516,3,2000000
Random Search,81.58477843589517,0,3,2000000
Simple Local Search,75.29951626991665,7.703964252249746,3,2000000
2-opt Local Search,74.46016826895726,8.732768910484987,3,2000000
Local Search with No Improvement Limit,75.51802799725817,7.436130311249077,3,2000000
Local Search with 2-opt and No Improvement Limit,74.70711057016578,8.430087079458684,3,2000000
Random Search,83.46726555986864,0,1,2000000
Simple Local Search,75.29951626991665,9.785571906741687,1,2000000
2-opt Local Search,74.87400780580994,10.295362734622,1,2000000
Local Search with No Improvement Limit,75.51802799725817,9.523778584682049,1,2000000
Local Search with 2-opt and No Improvement Limit,74.87400780580995,10.295362734621982,1,2000000
Random Search,91.08438663514048,0,1,2000000
Simple Local Search,75.29951626991665,17.329940891465586,1,2000000
2-opt Local Search,74.87400780580994,17.797099402189474,1,2000000
Local Search with No Improvement Limit,75.51802799725817,17.090040579882196,1,2000000
Local Search with 2-opt and No Improvement Limit,74.87400780580995,17.797099402189463,1,2000000
Random Search,83.4331526779928,0,5,2000000
Simple Local Search,75.29951626991665,9.748686399838702,5,2000000
2-opt Local Search,74.87400780580995,10.25868566325972,5,2000000
Local Search with No Improvement Limit,75.51802799725817,9.48678603969666,5,2000000
Local Search with 2-opt and No Improvement Limit,74.00133609916728,11.304638834909273,5,2000000
Random Search,84.10056758982631,0,5,2000000
Simple Local Search,75.29951626991665,10.464913105978049,5,2000000
2-opt Local Search,79.87515682893284,5.02423572395083,5,2000000
Local Search with No Improvement Limit,75.51802799725817,10.205091164695508,5,2000000
Local Search with 2-opt and No Improvement Limit,75.56241044729373,10.152318096323345,5,2000000
Random Search,84.0845028199454,0,5,2000000
Simple Local Search,75.29951626991665,10.447806974420132,5,2000000
2-opt Local Search,74.87400780580995,10.953855591985086,5,2000000
Local Search with No Improvement Limit,75.51802799725817,10.187935392840549,5,2000000
Local Search with 2-opt and No Improvement Limit,75.29951626991664,10.447806974420148,5,2000000
Random Search,83.24276867818325,0,5,2000000
Simple Local Search,75.29951626991665,9.542273202102677,5,2000000
2-opt Local Search,74.30785245197498,10.733564450205495,5,2000000
Local Search with No Improvement Limit,75.51802799725817,9.2797738513347,5,2000000
Local Search with 2-opt and No Improvement Limit,73.987618045175,11.118263820355004,5,2000000
Random Search,84.00853556195297,0,5,2000000
Simple Local Search,75.29951626991665,10.366826696572707,5,2000000
2-opt Local Search,75.2000429593072,10.485235272491872,5,2000000
Local Search with No Improvement Limit,75.51802799725817,10.106720118259153,5,2000000
Local Search with 2-opt and No Improvement Limit,74.00133609916728,11.91212225739345,5,2000000
Random Search,88.49384491395385,0,5,2000000
Simple Local Search,75.29951626991665,14.909882892834613,5,2000000
2-opt Local Search,75.10357827750374,15.131297153457401,5,2000000
Local Search with No Improvement Limit,75.51802799725817,14.66295981298201,5,2000000
Local Search with 2-opt and No Improvement Limit,74.00133609916728,16.37685516871623,5,2000000
Random Search,87.3902293663891,0,5,2000000
Simple Local Search,75.29951626991665,13.835314524443412,5,2000000
2-opt Local Search,75.16543127406942,13.98874700404599,5,2000000
Local Search with No Improvement Limit,76.41015813737549,12.564415162453638,5,2000000
Local Search with 2-opt and No Improvement Limit,75.06919125218998,14.098873756861737,5,2000000
Random Search,85.00958107745545,0,3,2000000
Simple Local Search,75.29951626991665,11.422318148693842,3,2000000
2-opt Local Search,74.30785245197498,12.588849974133762,3,2000000
Local Search with No Improvement Limit,76.41015813737549,10.11582792326044,3,2000000
Local Search with 2-opt and No Improvement Limit,74.59385319736273,12.252416431275615,3,2000000
Random Search,86.68823705751467,0,3,2000000
Simple Local Search,75.29951626991665,13.137561881714117,3,2000000
2-opt Local Search,74.96631478024752,13.521929474110845,3,2000000
Local Search with No Improvement Limit,76.41015813737549,11.856370909146563,3,2000000
Local Search with 2-opt and No Improvement Limit,75.1654312740694,13.292236841545503,3,2000000
Random Search,88.80722775426649,0,3,2000000
Simple Local Search,75.29951626991665,15.210148797490078,3,2000000
2-opt Local Search,75.16543127406942,15.36113312527278,3,2000000
Local Search with No Improvement Limit,76.41015813737549,13.959527766359558,3,2000000
Local Search with 2-opt and No Improvement Limit,73.99982631274878,16.67364449489454,3,2000000
Random Search,84.57480635718734,0,3,2000000
Simple Local Search,75.29951626991665,10.966965798417649,3,2000000
2-opt Local Search,74.87400780580995,11.470080712225,3,2000000
Local Search with No Improvement Limit,76.41015813737549,9.653759283030276,3,2000000
Local Search with 2-opt and No Improvement Limit,74.59385319736273,11.801331377185479,3,2000000
Random Search,83.6649020669263,0,1,2000000
Simple Local Search,75.29951626991665,9.998679960585987,1,2000000
2-opt Local Search,75.16543127406942,10.158944291906154,1,2000000
Local Search with No Improvement Limit,76.41015813737549,8.671191563395968,1,2000000
Local Search with 2-opt and No Improvement Limit,73.99982631274878,11.552127015514953,1,2000000
Random Search,89.51350817997006,0,1,2000000
Simple Local Search,75.29951626991665,15.879158575123295,1,2000000
2-opt Local Search,74.30785245197498,16.986995635813507,1,2000000
Local Search with No Improvement Limit,76.41015813737549,14.638405207234001,1,2000000
Local Search with 2-opt and No Improvement Limit,74.00133609916728,17.329420325717788,1,2000000
Random Search,87.18061284019488,0,1,2000000
Simple Local Search,75.29951626991665,13.628140687719984,1,2000000
2-opt Local Search,74.87400780580995,14.11621762391527,1,2000000
Local Search with No Improvement Limit,76.41015813737549,12.35418558316631,1,2000000
Local Search with 2-opt and No Improvement Limit,73.99982631274877,15.118942271726125,1,2000000
Random Search,91.3243911320671,0,1,2000000
Simple Local Search,75.29951626991665,17.54720142505672,1,2000000
2-opt Local Search,74.87400780580995,18.0131322227681,1,2000000
Local Search with No Improvement Limit,76.41015813737549,16.331051113304078,1,2000000
Local Search with 2-opt and No Improvement Limit,74.00133609916728,18.96870575118142,1,2000000
Random Search,83.61318043475444,0,10,2000000
Simple Local Search,75.29951626991665,9.943006738423446,10,2000000
2-opt Local Search,74.87400780580995,10.4519079211009,10,2000000
Local Search with No Improvement Limit,76.41015813737549,8.61469718042798,10,2000000
Local Search with 2-opt and No Improvement Limit,74.00133609916728,11.495609048249921,10,2000000
